,Paper,Ref,Serum/Plasma,#Subjects,Healthy/Unhealthy,Fasted/Fed,Analysis Technique,Units,CA,CDCA,DCA,UDCA,LCA,G-CA,G-CDCA,G-DCA,G-UDCA,G-LCA,T-CA,T-CDCA,T-DCA,T-UDCA,T-LCA,totalCA,totalCDCA,totalDCA,totalUDCA,totalLCA,Conjugated:Unconjugated,2nd:1st,Disease,Biliary/Hepato,Liver/Non-liver,NAFLD/NASH/Cirrhosis,Metabolic/HCC/Cholestatsis,Males,Females,Average Age,Extraction,Starting Volume,Protein Precipitation,Evaporation Technique,Reconstitution Solvent,Extraction Method,Derivitisation,Exact Analysis Technique,Publication Year,Value Type,Total Bilirubin (mg/dL),NOTES,Number of Patients
183,Ratio of Conjugated Chenodeoxycholic to Muricholic Acids is Associated with Severity of Nonalcoholic Steatohepatitis,https://doi.org/10.1002/oby.22627,Serum,48,Unhealthy,Fasted,LC-MS,nM,15.91,61.23,28.61,15.88,0.29,61.48,224.11,17.82,34.75,0.35,10.09,24.4,3.43,15.88,0.5,87.48,309.74,49.86,66.51,1.14,3.221866798,0.295831026,NASH,,Liver,NASH,Metabolic,30.0,18.0,41.17,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2019,Arithmetic Mean,0.9,UPLC-TQMS: Mean; NASH (Validation Cohort); NAS >4,48.0
184,Ratio of Conjugated Chenodeoxycholic to Muricholic Acids is Associated with Severity of Nonalcoholic Steatohepatitis,https://doi.org/10.1002/oby.22627,Serum,48,Unhealthy,Fasted,LC-MS,nM,23.67,138.99,46.22,28.78,0.48,81.52,288.82,39.25,56.38,1.37,11.81,35.29,7.96,2.13,0.0,117.0,463.1,93.43,87.29,1.85,2.202611909,0.3147216,NASH,,Liver,NASH,Metabolic,30.0,18.0,41.17,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2019,Arithmetic Mean,0.87,UPLC-TQMS: Mean; NASH (Training Cohort); NAS>4,48.0
185,Ratio of Conjugated Chenodeoxycholic to Muricholic Acids is Associated with Severity of Nonalcoholic Steatohepatitis,https://doi.org/10.1002/oby.22627,Serum,24,Unhealthy,Fasted,LC-MS,nM,14.37,55.61,11.47,29.08,0.06,25.44,112.32,2.12,31.76,0.04,2.78,11.34,1.12,29.08,0.49,42.59,179.27,14.71,89.92,0.59,1.957591102,0.474263049,NAFL,,Liver,NAFL,Metabolic,16.0,8.0,46.71,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2019,Arithmetic Mean,0.7,UPLC-TQMS: Mean;  Non-NASH (Validation Cohort),24.0
186,Ratio of Conjugated Chenodeoxycholic to Muricholic Acids is Associated with Severity of Nonalcoholic Steatohepatitis,https://doi.org/10.1002/oby.22627,Serum,24,Unhealthy,Fasted,LC-MS,nM,58.94,185.29,49.51,54.95,0.46,93.69,418.22,25.79,67.52,0.43,8.14,42.22,3.08,2.17,0.0,160.77,645.73,78.38,124.64,0.89,1.893913791,0.25283323,NAFL,,Liver,NAFL,Metabolic,16.0,8.0,46.71,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2019,Arithmetic Mean,1.08,UPLC-TQMS: Mean;  Non-NASH (Training Cohort),24.0
187,Ratio of Conjugated Chenodeoxycholic to Muricholic Acids is Associated with Severity of Nonalcoholic Steatohepatitis,https://doi.org/10.1002/oby.22627,Serum,15,Normal,Fasted,LC-MS,nM,18.32,90.14,84.97,19.04,0.77,21.97,159.77,30.69,19.77,1.74,2.42,9.7,3.77,0.96,0.0,42.71,259.61,119.43,39.77,2.51,1.176092666,0.534896798,,,Healthy,Normal,Normal,9.0,6.0,40.4,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2019,Arithmetic Mean,0.92,UPLC-TQMS: Mean; Healthy Control (Training Cohort),15.0
188,Sensitivity and Specificity of Biochemical Tests for Diagnosis of Intrahepatic Cholestasis of Pregnancy,https://doi.org/10.5604/01.3001.0010.0294,Serum,29,Normal,Fasted,GLC,uM,,,,,,,,,,,,,,,,2000.0,2000.0,2000.0,0.0,0.0,,,,,Healthy,Normal,Normal,0.0,29.0,28.1,"2ml serum diluted with 8ml 0.1M NaOH. BAs extracted by absorption on 100mg Bond Elut octadecylsilane bonded silica cartridge. Wash cartridge with 5ml 0.1M NaOH and 5ml H2O. BAs eluted with 6ml 75% MeOH. Interfering substances were then removed by extraction with 6ml n-hexane after acidification of eluate to pH 3-4. Dried with N2 at 60deg.  After neutralization and evapo-
ration of the solvent; the glycine and taurine conjugates
were hydrolyzed enzymatically for 2 hr at 37°C using
cholylglycine hydrolase (18). After acidification to pH
3-4; the aqueous solution was passed through a 4 X 1
cm Lipidex 1000 column prepared according to Setchell
and Matsui (15). Thereafter; the column was washed
with 15 ml of 0.01 N HCI and 20 ml of water and the
deconjugated bile acids were eluted with 10 ml of 75%
methanol. The solvent was evaporated under nitrogen
at 60°C. The methylation of the bile acids was carried
out according to Ali and Javitt (19) using 2;2dimethoxy-
propane and the trimethylsilyl ethers were formed with
pyridine-hexamethyldisilane-trimethylchlorosilane 3:2: 1
(v/v) at 60°C under nitrogen for 15 min (15). The
sample was taken to dryness and dissolved in 25-50 pl
of isooctane for healthy subjects and in up to 500 ~1 for
patients with liver disease. ",2000.0,,,,,,GLC,2017,Median,0.7,GLC: Median; Healthy pregnant women,29.0
189,Sensitivity and Specificity of Biochemical Tests for Diagnosis of Intrahepatic Cholestasis of Pregnancy,https://doi.org/10.5604/01.3001.0010.0294,Serum,61,Unhealthy,Fasted,GLC,uM,,,,,,,,,,,,,,,,14000.0,13000.0,3000.0,1000.0,1000.0,,,Intrahepatic Cholestasis,,Liver,Cholestasis,Cholestasis,0.0,61.0,28.59,"2ml serum diluted with 8ml 0.1M NaOH. BAs extracted by absorption on 100mg Bond Elut octadecylsilane bonded silica cartridge. Wash cartridge with 5ml 0.1M NaOH and 5ml H2O. BAs eluted with 6ml 75% MeOH. Interfering substances were then removed by extraction with 6ml n-hexane after acidification of eluate to pH 3-4. Dried with N2 at 60deg.  After neutralization and evapo-
ration of the solvent; the glycine and taurine conjugates
were hydrolyzed enzymatically for 2 hr at 37°C using
cholylglycine hydrolase (18). After acidification to pH
3-4; the aqueous solution was passed through a 4 X 1
cm Lipidex 1000 column prepared according to Setchell
and Matsui (15). Thereafter; the column was washed
with 15 ml of 0.01 N HCI and 20 ml of water and the
deconjugated bile acids were eluted with 10 ml of 75%
methanol. The solvent was evaporated under nitrogen
at 60°C. The methylation of the bile acids was carried
out according to Ali and Javitt (19) using 2;2dimethoxy-
propane and the trimethylsilyl ethers were formed with
pyridine-hexamethyldisilane-trimethylchlorosilane 3:2: 1
(v/v) at 60°C under nitrogen for 15 min (15). The
sample was taken to dryness and dissolved in 25-50 pl
of isooctane for healthy subjects and in up to 500 ~1 for
patients with liver disease. ",2000.0,,,,,,GLC,2017,Median,0.7,GLC: Median; Intrahepatic cholestasis of pregnancy,61.0
190,Sequential changes in serum levels of individual bile acids in patients with chronic cholestatic liver disease,https://doi.org/10.1111/j.1440-1746.1996.tb00064.x,Serum,5,Normal,Fasted,HPLC,uM,970.0,1020.0,,,,,,,,,,,,,,,3300.0,,,,,,,,Healthy,Normal,Normal,5.0,0.0,,,,,,,,,HPLC,1990,Arithmetic Mean,,HPLC: Mean; Healthy Controls,5.0
191,Sequential changes in serum levels of individual bile acids in patients with chronic cholestatic liver disease,https://doi.org/10.1111/j.1440-1746.1996.tb00064.x,Serum,12,Unhealthy,Fasted,HPLC,uM,520.0,370.0,,,,,,,,,,,,,,,13000.0,,,,,,Primary Biliary Cirrhosis,,Liver,,,1.0,11.0,56.4,,,,,,,,HPLC,1990,Arithmetic Mean,1.17,HPLC: Mean; Primary Biliary Cirrhosis 1st Visit,12.0
192,Sequential changes in serum levels of individual bile acids in patients with chronic cholestatic liver disease,https://doi.org/10.1111/j.1440-1746.1996.tb00064.x,Serum,12,Unhealthy,Fasted,HPLC,uM,80.0,290.0,,,,,,,,,,,,,,,35000.0,,,,,,Primary Biliary Cirrhosis,,Liver,,,1.0,11.0,56.4,,,,,,,,HPLC,1990,Arithmetic Mean,2.57,HPLC: Mean; Primary Biliary Cirrhosis 2nd Visit,12.0
193,Sequential changes in serum levels of individual bile acids in patients with chronic cholestatic liver disease,https://doi.org/10.1111/j.1440-1746.1996.tb00064.x,Serum,6,Unhealthy,Fasted,HPLC,uM,340.0,180.0,,,,,,,,,,,,,,,18000.0,,,,,,Primary Sclerosing cholangitis,,Liver,Cholestasis,Cholestasis,1.0,5.0,42.7,,,,,,,,HPLC,1990,Arithmetic Mean,0.64,HPLC: Mean; Primary sclerosing cholangitis 1st visit,6.0
194,Sequential changes in serum levels of individual bile acids in patients with chronic cholestatic liver disease,https://doi.org/10.1111/j.1440-1746.1996.tb00064.x,Serum,6,Unhealthy,Fasted,HPLC,uM,50.0,360.0,,,,,,,,,,,,,,,13000.0,,,,,,Primary Sclerosing cholangitis,,Liver,Cholestasis,Cholestasis,1.0,5.0,42.7,,,,,,,,HPLC,1990,Arithmetic Mean,1.75,HPLC: Mean; Primary sclerosing cholangitis 1st visit,6.0
195,Serum Bile Acid Levels in Children With Nonalcoholic Fatty Liver Disease,https://doi.org/10.1097/MPG.0000000000000774,Serum,105,Normal,Fasted,LC-MS,uM,140.0,280.0,260.0,70.0,,550.0,1250.0,310.0,240.0,,60.0,200.0,50.0,30.0,,750.0,1730.0,620.0,340.0,,3.586666667,0.387096774,,,Healthy,Normal,Normal,48.0,57.0,16.0,Reversed phased C18 column using MeOH/H2O gradient,,,,,,,HPLC-MS/MS,2015,Arithmetic Mean,0.6,HPLC-MS/MS: Mean; Controls; Children,105.0
196,Serum Bile Acid Levels in Children With Nonalcoholic Fatty Liver Disease,https://doi.org/10.1097/MPG.0000000000000774,Serum,65,Unhealthy,Fasted,LC-MS,uM,160.0,330.0,230.0,130.0,,330.0,830.0,130.0,170.0,,50.0,130.0,20.0,0.0,,540.0,1290.0,380.0,300.0,,1.952941176,0.371584699,NAFLD,,Liver,NAFLD,Metabolic,,,12.0,Reversed phased C18 column using MeOH/H2O gradient,,,,,,,HPLC-MS/MS,2015,Arithmetic Mean,0.5,HPLC-MS/MS: Mean; NAFLD-F>1; Children,
197,Serum Bile Acid Levels in Children With Nonalcoholic Fatty Liver Disease,https://doi.org/10.1097/MPG.0000000000000774,Serum,27,Unhealthy,Fasted,LC-MS,uM,110.0,280.0,280.0,220.0,,150.0,380.0,70.0,160.0,,50.0,40.0,10.0,0.0,,310.0,700.0,360.0,380.0,,0.966292135,0.732673267,NAFLD,,Liver,NAFLD,Metabolic,,,10.0,Reversed phased C18 column using MeOH/H2O gradient,,,,,,,HPLC-MS/MS,2015,Arithmetic Mean,0.7,HPLC-MS/MS: Mean; NAFLD-F0; Children,
198,Serum Bile Acid Profiles Improve Clinical Prediction of Nonalcoholic Fatty Liver in T2DM patients,https://doi.org/10.1021/acs.jproteome.1c00104,Serum,20,Normal,Fasted,LC-MS,nM,25.65,50.55,185.6,42.1,2.15,28.2,181.35,118.55,34.6,3.75,4.25,20.75,14.4,0.9,0.6,58.1,252.65,318.55,77.6,6.5,1.330991668,1.295736122,T2D No NAFL,,Healthy,Normal,Normal,18.0,2.0,70.5,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,UPLC-TQMS,2021,Arithmetic Mean,,UPLC-TQMS: T2D without NAFL (Validation),20.0
199,Serum Bile Acid Profiles Improve Clinical Prediction of Nonalcoholic Fatty Liver in T2DM patients,https://doi.org/10.1021/acs.jproteome.1c00104,Serum,30,Unhealthy,Fasted,LC-MS,nM,79.15,363.85,314.75,153.95,7.8,70.6,447.55,145.4,92.3,2.9,20.6,117.6,24.4,4.55,3.4,170.35,929.0,484.55,250.8,14.1,1.010657966,0.681721017,T2D NAFL,,Liver,NAFL,Metabolic,25.0,5.0,71.5,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,UPLC-TQMS,2021,Arithmetic Mean,,UPLC-TQMS:Mean; T2DM with NAFL (Exploration),30.0
200,Serum Bile Acid Profiles Improve Clinical Prediction of Nonalcoholic Fatty Liver in T2DM patients,https://doi.org/10.1021/acs.jproteome.1c00104,Serum,17,Unhealthy,Fasted,LC-MS,nM,73.4,304.9,104.0,271.6,4.1,52.7,332.3,22.3,95.3,0.0,18.7,75.0,5.0,3.4,3.1,144.8,712.2,131.3,370.3,7.2,0.801846966,0.59369895,T2D NAFL,,Liver,NAFL,Metabolic,12.0,5.0,75.0,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,UPLC-TQMS,2021,Arithmetic Mean,,UPLC-TQMS: Mean; T2DM with NAFL (Validation),17.0
201,Serum Bile Acid Profiles Improve Clinical Prediction of Nonalcoholic Fatty Liver in T2DM patients,https://doi.org/10.1021/acs.jproteome.1c00104,Serum,36,Normal,Fasted,LC-MS,nM,128.85,374.65,193.55,100.4,0.25,47.6,351.65,74.15,51.4,2.2,7.8,56.85,6.7,1.8,0.6,184.25,783.15,274.4,153.6,3.05,0.75310267,0.44557577,T2D No NAFL,,Healthy,Normal,Normal,24.0,12.0,67.0,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,UPLC-TQMS,2021,Arithmetic Mean,,UPLC-TQMS: Mean; T2DM without NAFL (Exploration),36.0
202,Serum bile acids and cholestasis in alcoholic hepatitis. Relationship with usual liver tests and histological features,https://doi.org/10.1016/S0168-8278(05)80401-5,Serum,36,Unhealthy,Fasted,HPLC,uM,,,,,,,,,,,,,,,,8900.0,27500.0,1150.0,,0.0,,,Alcoholic Hepatitis,,Liver,,,17.0,19.0,51.0,,,,,,,,HPLC,1994,Median,2.57,HPLC: Median; Biopsy provven alcohol hepatitis,36.0
203,Serum concentrations of ursodeoxycholic acid in portal venous and systemic venous blood of fasting humans as determined by isotope dilution-mass spectrometry.,https://doi.org/10.1016/S0016-5085(85)80144-X,Serum,9,Normal,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,240.0,790.0,810.0,190.0,,,,,,Healthy,Normal,Normal,,,,0.5ml serum; acetone; hydrolysis with potassium hydroxide. Dilute with saline and extracted twice with ether.  Acidification with HCl. Evaporated and methylated with diazomethane.,500.0,,,,,,GC-MS,1985,Arithmetic Mean,,GC-MS: Mean; Healthy subjects,
204,Serum concentrations of ursodeoxycholic acid in portal venous and systemic venous blood of fasting humans as determined by isotope dilution-mass spectrometry.,https://doi.org/10.1016/S0016-5085(85)80144-X,Serum,7,Unhealthy,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,670.0,1270.0,860.0,240.0,,,,Cholelithiasis,,Non-Liver,,,1.0,6.0,51.0,0.5ml serum; acetone; hydrolysis with potassium hydroxide. Dilute with saline and extracted twice with ether.  Acidification with HCl. Evaporated and methylated with diazomethane.,500.0,,,,,,GC-MS,1985,Arithmetic Mean,,GC-MS: Mean; Gallstone patients,7.0
205,Suppressed hepatic bile acid signalling despite elevated production of primary and secondary bile acids in NAFLD,https://doi.org/10.1136/gutjnl-2017-314307,Serum,11,Normal,Fed,LC-MS,uM,,,,,,,,,,,,,,,,191.0,473.0,155.0,36.4,,,,,,Healthy,Normal,Normal,6.0,5.0,12.8,,,,,,,,LC-MS/MS,2017,Arithmetic Mean,,LC-MS/MS: Mean; Healthy Control; Children,11.0
206,Suppressed hepatic bile acid signalling despite elevated production of primary and secondary bile acids in NAFLD,https://doi.org/10.1136/gutjnl-2017-314307,Serum,16,Unhealthy,Fed,LC-MS,uM,,,,,,,,,,,,,,,,587.0,1580.0,432.0,175.0,,,0.280110752,NASH,,Liver,NASH,Metabolic,9.0,7.0,13.7,,,,,,,,LC-MS/MS,2017,Arithmetic Mean,,LC-MS/MS: Mean; NASH (Kleiner's Criteria); Children,16.0
207,Targeted profiling of circulating and hepatic bile acids in human; mouse; and rat using a  UPLC-MRM-MS-validated method,https://doi.org/10.1194/jlr.D028803,Serum,8,Normal,Unknown,LC-MS,nM,440.0,380.0,320.0,43.0,,85.0,450.0,104.0,76.0,17.0,14.0,69.0,21.0,2.7,0.33,539.0,899.0,445.0,121.7,,0.709239222,0.406140473,,,Healthy,Normal,Normal,,,,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,LC-MS/MS,2012,Arithmetic Mean,,LC-MS/MS: Mean; Healthy,
208,The presence and severity of nonalcoholic steatohepatitis is associated with specific changes in circulating bile acids,https://doi.org/10.1002/hep.29359,Plasma,37,Unhealthy,Fasted,LC-MS,uM,48.800000000000004,33.099999999999994,77.60000000000001,,,84.8,65.3,51.0,,,89.39999999999999,78.0,599.0,,,223.0,176.4,727.6,,,6.065830721,1.821732599,NASH,,Liver,NASH,Metabolic,8.0,29.0,58.0,100ul plasma. Protein precipitation with MeOH spiked with IS using automated MicroLab Star. Aliquoted and dried under N2. Reconstituted in acidic (H20:MeOH containing 0.1% formic acid) and basic (H2O:MeOH containing 6.5mM ammonium bicarbonate),100.0,Methanol,N2,Methanol:H2O,,,UPLC-MS,2017,Median,,UPLC-MS: Median; NASH (NASH Clinical Research Network Criteria),37.0
209,The presence and severity of nonalcoholic steatohepatitis is associated with specific changes in circulating bile acids,https://doi.org/10.1002/hep.29359,Plasma,25,Unhealthy,Fasted,LC-MS,uM,54.300000000000004,39.6,39.1,,,59.7,50.7,52.900000000000006,,,53.8,38.6,36.4,,,167.8,128.89999999999998,128.39999999999998,,,2.196240602,0.432760364,NAFL,,Liver,NAFL,Metabolic,10.0,15.0,54.6,100ul plasma. Protein precipitation with MeOH spiked with IS using automated MicroLab Star. Aliquoted and dried under N2. Reconstituted in acidic (H20:MeOH containing 0.1% formic acid) and basic (H2O:MeOH containing 6.5mM ammonium bicarbonate),100.0,Methanol,N2,Methanol:H2O,,,UPLC-MS,2017,Median,,UPLC-MS: Median; NAFL (NASH Clinical Research Network Criteria),25.0
210,The presence and severity of nonalcoholic steatohepatitis is associated with specific changes in circulating bile acids,https://doi.org/10.1002/hep.29359,Plasma,24,Normal,Fasted,LC-MS,uM,50.3,50.1,25.5,,,33.8,37.8,42.2,,,16.1,26.1,35.9,,,100.2,114.0,103.6,,,1.524225576,0.483660131,,,Healthy,Normal,Normal,11.0,13.0,39.2,100ul plasma. Protein precipitation with MeOH spiked with IS using automated MicroLab Star. Aliquoted and dried under N2. Reconstituted in acidic (H20:MeOH containing 0.1% formic acid) and basic (H2O:MeOH containing 6.5mM ammonium bicarbonate),100.0,Methanol,N2,Methanol:H2O,,,UPLC-MS,2017,Median,,UPLC-MS: Median; Healthy controls,24.0
211,The profile of bile acids and their sulfate metabolites in human urine and serum. ,https://doi.org/10.1016/j.jchromb.2013.10.019,Serum,90,Normal,Fasted,LC-MS,nM,193.7,191.9,395.0,77.3,7.5,322.7,580.3,283.1,106.1,,126.9,223.6,79.3,6.18,,643.3,995.8,757.4,189.58,7.5,1.996972498,0.582319566,,,Healthy,Normal,Normal,27.0,63.0,,100ul serum spiked with 10ul IS; 1ml ice-cold  alkaline CAN (5% NH4OH) added. Vortex & Centrifuge. Evaporate SN under vacuum and reconstitute in 100ul 50% MeOH. ,100.0,Acetonitrile,Vacuum,Methanol:H2O,,,UPLC-MS/MS,2013,Arithmetic Mean,,UPLC-MS/MS: Mean; Healthy,90.0
212,Transhepatic bile acid kinetics in pigs and humans,https://doi.org/10.1016/j.clnu.2017.06.015,Plasma,11,Normal,Fasted,LC-MS,uM,60.0,140.0,310.0,,20.0,60.0,290.0,90.0,100.0,30.0,20.0,30.0,,,20.0,140.0,460.0,,,70.0,1.20754717,0.95,Elective Gastric Bypass Surgery,,Healthy,Normal,Normal,1.0,11.0,46.0,25ul plasma. 250ul internal standard. Centrifuge. SN evaporated under N2 at 40deg. Reconstitute in 100ul 50% MeOH H2O,25.0,Trichloroacetic Acid,N2,Methanol:H2O,,,LC-MS/MS,2017,Arithmetic Mean,,LC-MS/MS: Mean; Healthy non-diabetic patients,12.0
213,Unconjugated secondary bile acids in the serum of patients with colorectal adenomas.,https://doi.org/10.1136/gut.36.2.268,Serum,10,Normal,Fasted,GLC,uM,390.0,410.0,320.0,160.0,170.0,,,,,,,,,,,760.0,1340.0,950.0,400.0,420.0,,0.8125,,,Healthy,Normal,Normal,10.0,0.0,,2ml serum extracted on Bond Elut C18 cartridges. BAs eluted with 6ml 75% methanol. Eluate cleaned with n-hexane after pH3.5 acidification. Solvents removed under nitrogen and reconstituted in HCl:Acetone (1:10) for 3h. BAs deconjugated at pH5.9 for 16h. Passed through Lipidex-1000 and eluted with 75% MeOH. BAs methylated and trimethylsilylated. Solvents removed under nitrogen and dissolved in isooctane. ,2000.0,,,,,,Capillary Gas Chromatography,1995,Arithmetic Mean,,Capillary Gas Chromatography: Mean; Healhty controls,10.0
214,Unconjugated secondary bile acids in the serum of patients with colorectal adenomas.,https://doi.org/10.1136/gut.36.2.268,Serum,10,Unhealthy,Fasted,GLC,uM,470.0,510.0,470.0,160.0,210.0,,,,,,,,,,,950.0,1860.0,1890.0,400.0,490.0,,0.857142857,Colorectal Adenoma,,Non-Liver,,,10.0,0.0,,2ml serum extracted on Bond Elut C18 cartridges. BAs eluted with 6ml 75% methanol. Eluate cleaned with n-hexane after pH3.5 acidification. Solvents removed under nitrogen and reconstituted in HCl:Acetone (1:10) for 3h. BAs deconjugated at pH5.9 for 16h. Passed through Lipidex-1000 and eluted with 75% MeOH. BAs methylated and trimethylsilylated. Solvents removed under nitrogen and dissolved in isooctane. ,2000.0,,,,,,Capillary Gas Chromatography,1995,Arithmetic Mean,,Capillary Gas Chromatography: Mean; Colorectal adenoma,10.0
